####################################################################################################
Online Supporting Information S3. 

The input average signal dataset including the average signals of Chip-seq and DNase-seq in 5000 DNase I hypersensitive sites. 

#####################################################################################################

Chr	start	end	dnase1sig	H3k9me3	H3k27ac	H3k4me3	H3k4me1	H3k4me2	H3k27me3	H3k36me3	H3k9ac	H4k20me1	H3k79me2	BRCA1	BACH1	CEBPB	CHD1	CHD2	CJUN	CTCF	GTF2F1	CMYC	CTBP2	JUND	MXI1	MAX	MAFK	RFX5	RAD21	NRF1	SUZ12	SIN3A	TBP	ZNF143	USF2	ZNF274
chr1	25868432	25868684	0.039	1.263	2.336	1.051	5.988	1	2.524	1.413	2.432	1.806	1.652	5.3	7.389	2.4	1.5	3.3	4.667	3.729	5.769	1	1.8	4	5.933	1.4	2.667	2.25	6.3	4	0.45	10.333	3.222	5.615	6.938	2
chr11	120983248	120983586	0.062	3.126	3.723	1.6	3.649	6.497	1.917	1.12	0.952	1.85	3.294	15.723	32.74	16.023	6.773	12.212	9.871	70.297	8.429	18.487	4.333	22.565	15.49	11.221	18.653	8.88	148.523	11.143	2.453	13.6	13.914	29.566	9.636	1.5
chr3	126715566	126715818	0.039	1.46	7.34	1.192	3.912	1.693	1.89	4.448	4.748	7.028	18.176	4.167	2.167	2.167	1.667	2.5	1.5	2.54	1	5.286	5.778	1.5	3.556	1.94	6	4.111	3.5	2.5	6.222	2.5	2.5	3.2	4.615	1.667
chr14	52510484	52510702	0.045	1.92	2.724	3.865	5.169	3.658	3.071	2.337	3.249	0.92	3.44	12.045	3	11.421	8.471	21.371	5.111	171.431	19.034	10.842	8.462	11.5	14.043	12.333	7.833	7.615	156.965	7.692	1.429	15.793	8.467	44.968	13.833	1
chr19	2235001	2237282	0.349	1.809	21.486	29.084	6.501	46.68	1.436	1.791	38.309	3.905	17.556	11.947	23.134	19.189	11.256	32.061	10.216	38.544	14.01	23.215	9.141	45.853	248.869	31.76	6.261	10.545	116.476	85.048	2.277	55.226	43.723	43.782	14.194	2.235
chr19	42854333	42855032	0.051	1.87	3.979	0.877	2.37	0.889	1.732	3.264	1.814	5.889	1.844	4.192	3.524	2.889	3.45	2.571	3.429	2.569	2.231	3.143	3.647	2.308	3.885	0.467	2.667	3.381	3.65	1.875	4.151	4.138	1.7	4.28	3.893	2.889
chr3	138171438	138171594	0.037	2.192	4.547	2.88	5.44	5.653	0.93	0.88	9.453	7.227	3.073	5.167	2	2	1.5	3.8	2.8	3.407	2	4.4	3.833	4.222	6	2.075	4	5	3.5	6	3.337	7.5	5.571	9.615	8.733	1.333
chr2	241739780	241740058	0.045	2.2	7.989	1.008	3.836	2.178	1.234	5.371	5.393	14.905	47.825	3.875	4.917	2.444	2.857	2.857	4.889	0.887	3.444	5.7	2.167	3.538	4.167	1.4	5.3	5	3.857	2.286	0.75	6.5	4.667	4.333	7.381	1.4
chr8	668513	668964	0.061	5.191	3.32	2.2	6.876	2.233	0.976	3.444	4.384	8.22	35.069	5	5.957	2.846	7.552	4.294	5.5	2.891	5.667	2.667	3.938	6.481	7.926	2.979	3.769	4.7	3.091	5.714	4.219	19.768	3.824	5.913	8.091	3.167
chr20	57439524	57439666	0.038	1	6.1	0.968	1.648	1.487	0.74	3.553	2.42	4.687	1.8	6.167	7	7.625	3.5	6.5	5.714	23.28	2.2	4.25	1	3.4	9.143	8.858	2.5	6	81.8	5.429	2.917	7.75	2.6	14.706	6.111	1.5
chr14	102961632	102962591	0.043	2.268	5.069	1.911	1.99	1.641	0.889	2.238	2.776	3.461	0.99	5.059	4.393	3.875	3.138	4.793	2.692	1.512	3.357	2.571	3.692	2.619	2.05	1.657	2.889	2.167	2.833	2.5	2.152	4.512	2.522	4.794	4.811	2.929
chr10	134925166	134925457	0.047	17.907	4.613	7.663	2.24	3.552	3.72	1.9	9.583	5.543	4.71	8.316	2.333	2.333	3.429	7.929	2.333	3.457	9.737	4.364	3	4	5.769	6.833	2	8.471	3.167	5.333	7.1	7.067	3	8.375	9.3	2.143
chr2	27318892	27319551	0.105	4.953	6.464	8.381	11.007	35.93	1.877	2.398	8.504	3.37	2.388	8.36	9.877	9	8.865	18.236	10.654	3.272	11.219	13.115	9.435	9.814	13.907	6.231	5.938	6.378	8.158	8.467	2.364	32.985	12.959	787.117	17.56	1.909
chr12	20365723	20365986	0.045	5.538	9.927	1.667	11.407	11.909	2.457	3.182	5.145	2.476	2.66	11.517	83.088	16.615	5.389	20.894	25.56	4.905	12.862	21.805	10.053	141.45	11.88	26.23	60.128	12.923	27.19	8.154	2.123	24.298	15.314	26.897	7.174	1
chr2	241567211	241570067	0.053	4.425	2.89	1.432	3.102	1.479	2.15	1.98	2.427	2.193	2.028	2.902	3.987	2.766	3.88	3.462	3.089	2.442	2.667	3.899	2.405	3.521	3.016	1.011	2.604	2.525	2.538	3.877	2.668	3.549	2.767	5.289	3.871	1.917
chr22	36960257	36961401	0.054	2.772	2.275	1.228	3.474	1.413	1.701	1.835	3.756	1.012	2.413	2.846	3	3.421	3.629	4.979	3.757	1.881	3.4	2.565	6.022	3.976	4.312	1.518	2.462	3.407	1.952	5.208	2.715	5.239	3.852	8.921	3.214	1.818
chr11	76326117	76328560	0.054	4.571	3.412	1.467	2.573	1.497	1.867	1.985	2.424	2.319	3.11	3.963	4.138	3.625	3.483	4.419	2.714	2.195	3.152	3.488	3.722	3.802	5.182	2.152	3.308	4.39	2.349	3.842	2.764	3.825	3.381	5.546	5.348	1.545
chr6	29664374	29664665	0.054	3.12	2.227	1.743	4.647	6.707	1.305	1.21	5.563	1.264	4.909	13.893	15.606	18.171	12.429	13.485	11.409	101.657	5	16.088	3.7	15.789	24.574	7.012	6.786	21.364	52.814	5.714	1.5	18.905	8.632	30.922	8.304	2.5
chr14	93568333	93568677	0.047	1.447	6.431	0.4	16.774	1.637	2.68	2.129	3.389	14.777	48.194	3.182	4.875	5.235	4.308	5.526	3.429	4.017	4.7	7.913	3.091	3.667	8.839	3.145	7.391	5.5	2.833	3.5	3.608	4.235	3.154	4.75	5.529	3.786
chr20	61803870	61812221	0.211	2.574	3.302	6.517	11.563	28.168	30.294	2.222	6.114	5.637	2.341	5.552	20.773	6.526	5.907	9.182	5.711	10.337	7.976	8.904	8.553	16.891	8.945	4.365	4.046	5.571	34.252	5.513	5.072	21.873	7.525	17.982	9.22	1.784
chr10	102295340	102296069	0.108	1.629	7.687	34.575	3.194	33.279	1.499	2.153	12.302	3.757	18.728	13.624	15.349	13.852	13.56	24.752	9.5	97.655	14.729	16.067	10.491	26.66	16.046	9.95	8.756	17.112	16.686	10.935	2.004	53.677	34.665	89.738	15.277	1.625
chr17	19651880	19652096	0.037	2.37	2.008	2.08	5.815	4.375	1.705	0.9	1.733	1.78	0.893	6	6.714	5.7	1	8.588	1.6	1.77	4.9	6.25	4.333	3.571	3.5	2.1	1.5	1	2.5	1.333	1.825	5.308	5.7	5.364	7.706	1.333
chr4	8134139	8134450	0.042	2.096	3.655	1.491	5.206	1.48	1.436	3.745	6.945	2.66	2.449	3.214	3.25	1.4	3.333	2.286	3.4	1.488	1.4	2.5	4.222	2.571	7.6	0.7	2	4.1	1.5	4.727	1.111	3.818	3.625	3.333	3.231	2.8
chr9	117050506	117051317	0.056	2.615	6.96	2.468	9.77	7.508	1.779	3.856	6.816	4.839	1.975	8.656	23.794	7.696	7.078	13.642	8.75	6.545	8.067	10.759	9.82	10.192	13.342	13.815	20.126	8.391	9.5	5.784	2.571	18.966	10.035	18.838	10.25	2
chr2	96986747	96988053	0.117	2.125	2.981	26.022	7.856	80.562	21.835	2.328	12.146	4.134	3.797	8.76	17.343	6	10.325	19.621	7.237	6.905	14.841	16.206	12.868	13.434	14.976	24.795	6.148	7.989	7.688	6.97	2.854	24.134	13.457	16.173	11.126	2.647
chr3	48450114	48450530	0.069	3.412	4.991	0.9	1.265	1.216	1.371	12.522	1.866	5.44	7.398	7.44	4.579	3.733	2.556	4.278	5.389	39.76	8.667	6.048	4.077	5.412	6.391	1.94	3.833	4.905	18.175	4.667	1.776	6.68	2	13.078	8	1.333
chr12	131486681	131490660	0.059	2.55	3.509	1.323	2.917	2.586	2.096	2.103	2.733	3.097	2.621	2.866	3.77	3.257	3.264	3.945	3.442	3.396	3.873	4	4	3.396	4.962	1.355	2.466	3.65	4.286	3.412	2.743	4.291	3.394	4.83	4.875	1.375
chr6	27694414	27694560	0.036	1.6	0.72	1.68	0.893	5.547	1.16	1.047	1.52	3.007	1.14	19.682	8	21.381	8.429	12	8.636	2.587	14	18.867	1.5	13.5	11.75	5.946	37.7	8	7.429	14.955	0.733	16.105	1082.537	9.25	9.467	1.333
chr16	284256	285838	0.235	2.388	37.147	35.647	3.896	58.145	1.843	2.163	52.684	5.923	6.726	10.23	17.818	23.359	12.497	19.353	9.21	14.571	17.685	17.213	9.144	18.218	25.907	20.414	6.738	7.091	9.355	11.914	2.399	64.292	33.397	28.687	19.709	3.167
chr10	106034367	106035268	0.096	3.525	9.572	18.623	7.489	43.65	7.149	1.585	17.513	1.291	4.207	12.908	8.667	12.068	30.014	16	10.855	70.604	13.798	23.472	14.247	44.333	12.422	13.905	7.386	8.984	60.859	12.492	1.796	23.755	18.231	31.006	16.57	1.636
chr2	121636672	121637807	0.044	2.879	5.152	2.329	12.451	2.938	1.769	2.362	3.361	6.751	17.789	5.257	5.265	6.087	6.646	5.981	5.979	11.096	5.137	5.244	6.451	5.821	9.36	2.181	4.119	8.864	6.786	5.283	2.484	6.408	5.15	9.577	7.922	3.522
chr11	76571413	76572687	0.277	2.558	10.229	21.535	7.555	44.729	1.501	1.88	20.478	4.548	3.463	8.489	11.123	10.096	8.099	11.28	4.933	13.041	12.102	11.858	8.286	12.273	9.68	4.141	6.764	6.868	11.597	5.119	1.877	21.701	26.294	15.474	9.425	2.444
chr2	242894287	242894635	0.056	3.993	2.597	0.16	2.191	2.193	3.674	3.244	1.45	4.106	2.78	4.077	7.136	2.556	2.333	5.412	4.2	9.946	2	3.333	2.667	4.875	3.333	1.833	1.4	2	13	4.333	2.383	2.25	3.5	8.5	2.75	1
chr19	1950768	1951124	0.049	4.1	2.786	0.952	1.851	1.517	1.46	3	2.572	14.389	54.957	7.2	5.077	4.2	2	3.167	1.25	0.877	2.167	3.786	2.6	4.2	4.583	1.4	1.5	2.125	2.5	2.25	2.29	3	2.778	4.833	3.167	1.333
chr18	56751438	56751726	0.054	1.26	2.327	1.432	3.953	5.863	1.569	1.65	0.95	1.833	3.08	12.424	12.379	12.862	14.344	15.889	11.25	178.34	10.731	19.071	6.6	19.673	17.349	8.981	14.25	13.645	123.422	10.808	1.74	24.137	17.667	57.174	13.031	2.5
chr3	38589683	38590009	0.058	1.846	4.462	0.957	5.625	6.378	2.166	1.948	2.351	3.357	2.409	5.444	6.737	4.667	5.071	9.13	4.938	3.058	4.647	7.286	10.808	10.273	11.379	4.838	7.048	12.259	9.16	3.7	0.9	28.373	11.645	10.333	10.212	2
chr8	95906390	95909279	0.146	2.299	4.787	26.39	5.716	73.676	4.221	1.286	13.66	3.794	2.659	8.205	19.416	6.899	9.578	12.699	7.078	4.531	9.912	15.188	16.367	12.468	20.711	35.417	6.18	8.323	9.857	56.616	2.232	76.536	31.228	29.039	9.771	2
chr22	44291937	44292502	0.073	3.543	2.38	1.293	9.226	4.955	2.285	2.136	8.427	2.144	2.364	4.808	11.592	3.235	6.767	7.724	7.967	43.673	6.767	10.267	4.955	9.462	20.974	17.14	3.083	5.567	23.459	8.65	1.779	21.439	6.8	15.729	16.042	1.625
chr20	33592252	33592518	0.039	2.276	7.496	1.296	3.084	3.276	0.995	11.176	3.64	7.88	1.972	2.571	5.75	2.6	2.5	4.5	2.5	3.256	4.1	3.111	2	1.75	2.167	0.7	2.6	2.571	3.444	2	2.418	2.5	2.286	5.273	3.25	1.5
chr4	2391903	2392224	0.043	7.113	3.707	1.393	10.067	9.707	3.027	3.21	1.38	1.14	3.315	5.632	6.353	3.364	4.333	8.409	2.833	3.877	4.182	5.571	7.214	6.105	6.5	1.68	3.714	5.733	1.5	5.467	2.21	8.625	1.857	6.3	4.077	3.875
chr13	49788949	49789561	0.077	4.179	3.302	2.049	12.238	11.192	2.803	2.276	5.523	3.288	2.105	6.056	12.224	25.534	4.643	15.11	8.595	43.714	10.694	19.682	11.809	15.855	10.804	42.907	9.196	5.879	17.143	6.773	3.189	28.381	12.349	15.192	20.573	1.818
chr16	541193	541851	0.06	3.285	4.314	3.299	18.873	9.361	2.171	4.407	7.831	5.819	6.483	4.966	7.15	5.344	3.368	7.755	4.417	4.63	4.731	5.333	5.233	6.528	8.431	3.352	3.667	5.485	6.389	5.793	1.554	11.036	5.758	4.618	7.366	1.25
chr8	141456967	141457244	0.051	5.044	7.644	1.57	19.338	14.607	2.935	1.971	5.345	3.4	8.665	4.364	15.967	8.353	5.727	7.955	10.211	6.887	8.9	11.083	8.4	8.632	14.818	7.067	7.188	9.7	15.774	3.75	0.917	16.444	19.024	16.314	12.192	1.4
chr7	22892864	22893053	0.038	9.11	2.055	1.335	12.74	9.905	5.57	3.54	4.36	3.22	4.23	2.5	9.167	4.4	7.778	5.545	5.286	3.445	8.154	6.083	10.286	11.385	6.684	5.3	5.125	5.875	5.833	2.5	4.843	11.062	2	7.846	9.6	3.167
chr11	60772342	60772886	0.047	3.824	1.702	1.792	4.5	1.458	12.067	1.896	2.482	6.06	1.584	4.167	3.9	2.5	3.833	4.72	4.579	2.539	5.222	4.15	4.833	2.643	4.524	1.9	2.385	5.75	7.576	6.844	1.267	5.633	6.259	5.759	6	1.25
chr19	2082458	2082848	0.042	1.173	1.074	1.347	1.139	1.455	1.236	3.339	2.957	3.848	2.912	3.167	2.25	4.308	4.308	5.5	3.667	1.464	2.5	2.5	2	1.333	3.182	2	2	3.143	1.5	3.5	2.32	3.364	2.6	3.333	5.474	1.5
chr14	65169401	65169560	0.037	5.22	11.027	21.753	31.773	86.673	3.78	0.96	15.42	2.453	4.38	7.9	11.2	19.654	13.364	9.929	8.909	4.653	7.125	8.938	8.429	9.923	15	4.487	9.5	12	10	12.429	1.46	21.889	12.812	24.742	8.786	3
chr4	6418246	6418916	0.051	2.405	1.932	2.16	11.39	9.199	3.916	0.91	2.99	4.193	2.098	3.75	5.649	4.44	2.955	10.308	3.789	3.122	5.857	3.833	7.175	6.289	7.267	1.786	5.905	4.448	5.514	3.579	2.863	7.361	3.7	12.057	4.107	2.286
chr7	129882364	129882756	0.081	3.376	2.07	1.747	2.882	2.19	0.82	2.848	2.545	1.183	1.624	12.805	11.432	13.024	9.452	16.292	16.439	119.405	9.781	11.286	4.714	23.045	11.205	5.532	8.286	9.833	328.691	10.071	1.409	17.772	13.646	38.885	14.812	2.25
chr9	131788660	131791121	0.193	3.21	8.046	15.485	9.34	29.482	1.931	2.788	11.459	6.471	21.549	6.515	8.345	7.379	8.565	10.452	4.561	15.608	7.432	10.273	6.385	10.041	11.784	9.046	5.157	8.847	15.054	6.858	2.146	20.658	8.873	29.553	9.122	2.556
chr2	15829799	15830120	0.036	2.665	2.625	2.407	2.548	1.665	1.495	1.2	2.388	3.225	1.665	4.333	4.25	4.364	3.714	3.615	1.5	7.724	2.167	4.375	2.2	5.214	4.273	0.7	2.2	4.833	1.857	2.429	2.5	3.909	3.333	2.8	3.3	1
chr7	2138578	2138993	0.043	3.438	4.937	1.338	3.93	3.6	0.983	3.448	5.042	7.968	5.522	4.526	6.522	3	4.5	6.231	6.188	2.002	5.286	3.3	1.25	2.167	4.4	1.12	2.75	4.375	1.333	4.182	3.915	6.045	2.643	6.565	9.097	2
chr12	185853	188493	0.102	2.228	2.652	3.364	5.37	13.968	17.71	1.823	2.323	4.459	2.892	4.148	5.342	2.61	4	3.217	2.641	2.402	2.355	2.75	4.233	3.327	4.418	2.929	2.536	2.156	2.244	3.639	4.767	3.172	1.842	2.683	3.646	1.2
chr15	81567377	81567797	0.059	2.165	1.67	0.825	2.41	8.55	0.889	1.466	1.049	1.744	1.8	12.562	9.308	14.86	5.4	17.2	10.639	228.303	21.845	10.833	4.188	18.212	22.932	8.942	13.738	5.217	280.03	5.476	1.433	49.678	16.72	45.338	12.425	1.4
chr18	43313612	43313801	0.044	3.165	0.994	0.968	4.485	1.105	1.17	1.185	1.435	3.675	1.65	14.6	8.071	8.462	5.5	8.214	10.929	96.725	14.714	8	15.923	11.357	7.182	3.547	13.071	6.6	147.175	4.667	1.94	12.25	7.636	25.233	8.385	1.5
chr11	124712432	124712509	0.034	2.707	3.533	2	7.547	13.187	125.107	3.587	4.493	12.547	4.56	4.5	5.833	5.333	2	7.833	6	2.36	5.75	1	2.667	7.5	4.5	1.4	6.167	6.571	1.5	6	10.7	13.333	6	3.5	8.4	4
chr17	48276573	48279530	0.204	2.205	3.871	16.316	6.523	45.977	10.603	2.051	7.037	3.247	4.634	10.512	16.288	12.097	7.966	14.217	7.47	35.606	8.957	9.581	8.976	18.401	14.007	4.96	6.986	7.229	198.83	6.76	2.352	34.735	35.357	24.822	11.746	2.4
chr20	43938132	43938525	0.037	2.973	4.645	2.208	7.43	2.634	3.895	2.473	4.02	3.95	1.593	5.632	4.533	4.167	3.643	3.583	4.769	4.713	1.833	3.909	1.8	3.273	4.588	1.6	4.25	2.333	1.8	4.154	2.506	4.588	2.7	6.048	5.143	1.5
chr10	102980713	102981082	0.04	5.629	1.127	1.114	4.829	1.4	129.795	0.989	1.289	9.579	3.379	1.75	5.526	2.636	2.556	4.214	3.222	1.585	5.067	6.8	7	6.579	3.417	4.836	2.667	2.75	2.833	4	12.252	6.808	2.375	5.25	6.6	1.5
chr22	26570281	26570760	0.09	3.091	1.269	3.499	11.225	14.381	5.712	1.779	5.581	6.368	3.779	16.254	17.5	38.602	8.147	19.671	10.441	93.781	9.125	9.629	6.36	25.375	10.238	8.159	15.339	8.667	135.442	6.37	2.391	31.787	14.836	33.319	15.623	2.3
chr7	155793540	155794277	0.052	3.564	2.106	0.914	2.02	1.608	2.083	2.341	3.723	3.94	2.873	3.609	3.714	3.1	2.571	4.75	1.714	2.504	4.6	1.625	3.412	5.148	3.967	3.45	2.909	2.909	5	4.36	2.648	3.7	2.125	16.326	4.2	1.8
chr1	41349724	41350501	0.064	2.615	1.608	6.405	4.674	28.19	9.181	1.117	2.751	3.152	1.825	3.053	13.484	4.865	5.143	6.462	4.042	2.932	5	3.056	2.5	7.408	5.606	2.4	5.143	6	4.833	4.048	2.244	7.151	3.182	5.974	5.182	1.4
chr11	130057884	130058279	0.038	1.705	3.668	0.8	5.403	1.331	0.924	3.465	3.582	3.055	3.013	1.5	3.5	3.231	5	2.6	2.6	0.829	2.833	1.5	4.6	2	2.667	0.7	4.5	2.25	5.474	3	2.406	3.625	4.154	5.913	3.5	1.333
chr12	124763885	124764849	0.052	1.738	4.092	1.828	8.539	3.172	2.892	1.789	3.397	3.196	1.559	3.458	4.483	2.438	4.722	5.229	4.424	2.789	4.269	3.852	4.444	5.549	5.15	1.763	3.28	6.647	5.302	6.133	1.18	7.034	3.348	8.23	4.933	1.875
chr1	114447327	114448165	0.133	2.785	11.161	48.995	4.45	49.393	1.856	2.044	16.408	5.232	1.908	22.555	53.842	11.28	11.884	71.491	9.742	22.432	9.71	18.576	19.856	25.209	23.231	9.337	11.547	12.928	41.558	15.183	2.849	110.929	24.722	45.477	14.627	2.111
chr9	134482677	134482949	0.05	1.71	11.076	3.52	9.128	5.18	2.752	6.32	3.88	1.632	3.484	6.273	6.385	4.3	4.214	6.882	5	29.72	3.5	4.5	8	10.15	4.154	1.4	6.167	6.294	43.716	4.7	2.867	3.9	4.545	7.619	5.944	3.143
chr6	21935930	21936066	0.037	4.808	1.213	0.813	3.8	5.384	1.448	1.28	0.928	5.472	22.976	16.4	11.111	20.6	8.364	19.611	13.833	200	18.538	18.25	2	29.64	14.067	7.833	12.25	12.333	147.061	8.667	2.4	23.64	17.85	49.765	21.316	3
chr10	15130261	15131160	0.234	1.373	8.97	18.839	2.01	30.328	2.176	1.736	16.229	3.042	1.887	7.175	14.738	6.611	9.81	19.242	6.104	12.345	11.968	10.561	9.877	11.728	15.111	5.96	4.367	7.364	13.714	4.48	1.024	50.196	49.534	23.584	9.409	2
chr7	36006907	36008944	0.07	2.297	2.874	1.551	3.352	1.745	1.617	1.114	3.029	2.819	1.535	2.345	3.333	4.209	3.128	4.209	2.387	2.432	3	3.468	4.712	3.078	4.233	2.887	2.481	3.085	3.509	2.069	2.556	3.289	2.152	6.541	5.537	1.692
chr5	174150697	174153063	0.16	2.568	2.543	14.758	9.291	44.279	62.067	1.608	4.472	8.561	2.934	7.318	11.885	5.263	13.049	8.429	7.683	5.112	6.822	6.066	28.457	6.974	7.394	3.129	5.327	8.834	9.243	6.568	12.137	12.992	11.62	12.621	7.483	2.179
chr5	174976107	174976166	0.034	2.56	28.54	2	12.54	9.6	3.66	2	10.78	0.24	2	10.5	12	17.5	7	22.214	9	1	17.4	3	8.667	10	12.8	9	17.273	6.2	7.667	4.167	1.8	16	42	17.5	6	6.5
chr21	43796648	43797203	0.059	2.08	1.84	1.385	3.009	1.692	2.663	1.058	3.311	1.363	3	5.5	5.773	22.615	4.72	5.37	2.462	23.948	4.095	4.909	5.174	6.206	4.833	2.279	3.4	6.562	22.581	4.273	2.873	9.182	4.526	13.532	6.914	1.4
chr22	39759514	39760435	0.055	4.121	6.802	2.07	10.101	6.136	1.253	3.834	6.273	7.723	8.514	4.379	5.628	2.619	4.088	6.175	3.318	4.242	4.878	2.067	4.897	7.945	5.628	4.41	4.069	2.739	3.308	4.333	2.851	6.852	5.068	6.1	5.849	1.25
chr9	136438778	136439715	0.046	1.947	2.651	0.914	2.629	1.634	2.839	1.025	2.041	1.847	1.726	2.455	4.618	1.857	4.379	2.389	2.826	0.925	3.333	1.917	2.667	3.966	4.953	0.7	3.1	3.55	1.941	2.882	2.98	3.971	2.529	5.231	5.766	1.25
chr1	156370997	156372472	0.171	2.815	4.162	2.077	17.1	7.836	2.232	2.095	3.817	4.761	2.806	7.925	8.914	7.23	7.111	8.264	5.369	3.988	7.392	5.394	8.265	15.169	8.167	2.63	7.864	6.556	6.494	5.493	3.393	15.896	8.722	48.922	9.323	1.7
chr7	146658252	146658428	0.041	3.851	4.354	1.091	10.217	5.171	1.44	0.78	3.28	3.171	1.2	12.105	8.455	9.818	4.667	12.308	7.636	74.874	8.385	12.357	6.667	22.724	12.786	6.442	2	8.833	119.468	4.2	1.28	11.333	7.727	27.515	10.875	4
chr22	20050713	20051134	0.057	4.452	6.892	1.288	3.664	1.166	1.807	3.254	1.811	4.16	1.373	2.857	7.481	5.3	3.5	3.429	5.846	17.965	4.6	2.25	3.818	3.9	6.92	1.167	2	3.9	5.105	2.875	4.665	7.143	5.75	9.676	6.346	2.692
chr3	52405148	52405978	0.04	2.333	2.738	0.914	1.469	3.055	2.622	1.237	2.85	2.012	1.633	4.034	3.3	2.789	2.684	3.579	4.28	3.058	3.391	4	3.958	2.765	5.316	0.891	2.889	2	2	3.667	2.834	4.364	1.818	6.25	5.568	2
chr15	34880215	34880856	0.065	4.292	4.546	3.72	4.823	11.782	0.889	2	3.718	1.871	1.827	144.321	12.463	18.375	9.25	267.449	8.705	48.392	14.311	9.302	3.647	12.443	23.853	8.459	11.382	8.939	153.466	8.556	2.702	12.097	81.342	20.032	11.172	3.273
chr8	23428362	23428638	0.039	1.57	3.473	0.914	1.222	1.6	1.422	1.753	4.32	4.48	2.175	3	4.083	4.917	3.143	4.286	8	7.178	2.9	3.333	1	4	6.462	0.7	3	3.3	1	2.5	1.367	6.059	2.2	7.75	6.5	2.5
chr9	138605286	138607522	0.161	2.051	2.986	4.694	4.74	17.203	11.22	1.703	2.449	5.319	1.818	3.597	5.289	4.135	3.795	5.202	3.66	3.434	8.078	6.701	7.786	7.712	8.324	2.165	3.774	5.387	3.768	3.757	2.172	42.393	4.627	21.257	6.304	1.895
chr9	92108155	92108975	0.069	3.992	7.176	3.452	14.439	10.078	1.231	2.149	4.739	7.275	44.347	7.375	8.526	10.243	5.132	6.109	5.906	2.302	5.381	7.5	5.577	8.268	7.179	5.604	3.32	9.431	4.375	5.613	1.679	8.686	3.13	8.517	8.8	1.286
chr1	182653669	182653929	0.041	4.269	4.605	5.396	8.985	21.695	4.552	1.808	3.244	2.611	0.936	4.125	7.143	3.5	3.364	6.5	4.615	4.96	3.9	12.435	16.182	8.263	9.619	1.94	1.333	10	9.182	4.364	3.075	18.118	8.545	12.963	5	1.5
chr15	32604782	32606575	0.102	5.653	2.033	1.83	4.524	5.895	22.011	2.292	2.504	4.478	3.021	1	1	1	1.333	1.286	1.2	2.096	1	2.556	1	1	1.2	0	2.2	1.2	1	1.25	1.07	1	1.2	1.5	1.5	1
chr16	71401165	71401896	0.085	1.883	6.506	1.442	8.454	5.479	1.255	2.524	3.219	4.687	1.856	9.25	8.804	13.214	7.283	20.26	8.333	116.794	12	8.023	11.902	12.464	12.903	9.82	6.861	9.322	98.493	10.429	4.105	25.793	12.785	53.726	12.779	1.571
chr1	9748889	9751017	0.193	1.711	10.859	17.291	10.879	48.48	6.51	1.975	10.462	5.166	5.055	6.992	8.957	6.869	7.261	12.586	4.741	4.016	10.043	7.151	8.804	8.5	30.465	4.317	5.265	6.16	6.222	8.685	2.8	25.158	9.596	14.376	9.8	2.759
chr11	18225245	18225767	0.123	3.31	2.971	2.627	3.773	14.545	1.964	1.763	3.215	3.19	2.52	14.661	11.956	12.125	9.2	14.651	12.66	78.975	11.895	17.803	8.152	18.405	14.19	10.988	5.556	11.878	176.093	10.9	2.73	39.868	14.434	44.403	14.362	1.714
chr6	33059660	33060105	0.073	3.076	5.273	1.914	4.468	6.033	2.096	3.727	2.952	2.928	4.791	16.722	14.723	13.326	6.913	22.416	12.55	237.731	11.786	14.098	15.857	20.875	14.321	18.828	13.439	31.971	92.181	9.125	4.403	20.371	16.778	78.367	29.705	2.727
chr2	239800590	239800987	0.046	1.883	4.065	2.606	2.042	3.541	1.737	1.58	3.812	3.843	2.277	2.5	2.143	2.25	4.8	2.818	5.235	2.06	2	1.25	3.222	1.875	5.7	2.911	2.5	1.571	1.4	3	1.9	2.286	2.7	4.643	4.421	1.333
chr1	21948242	21949796	0.17	2.921	4.564	8.515	11.593	29.18	9.679	1.378	5.295	4.855	3.07	5.339	6.141	17.757	5	7.052	5.304	2.62	5.949	5.478	5.771	5.987	7.674	5.752	4.579	7.446	5.761	8.134	1.81	12.957	4.304	7.211	7.642	2.444
chr19	50400076	50401277	0.06	1.976	4.449	1.867	9.508	4.184	2.366	1.786	3.588	4.298	1.514	5.672	5.113	4.409	2.636	5.523	7.633	3.356	4.417	3.455	4.293	5.746	4.417	2.937	11.326	4.667	5.154	4.233	2.113	10.103	4.027	7.19	7.417	2.333
chr21	28337562	28340310	0.156	3.502	2.118	21.715	8.894	63.463	21.993	1.055	7.309	3.045	2.481	7.52	14.497	10.776	11.205	12.555	8.382	19.665	9.914	9.243	13.458	11.291	8.352	9.422	4.537	7.662	35.588	7.714	4.549	15.289	16.24	18.203	8.348	1.973
chr14	105908576	105909592	0.048	3.251	5.698	1.345	1.394	2.79	2.091	10.153	6.036	11.589	18.834	4.281	4.792	2.741	2.583	4.189	2.591	3.349	5	3.931	2.25	3.621	3.692	2.19	3.536	5.14	2.111	3.25	7.031	2.765	4.097	4.977	7.4	1.4
chr8	131531088	131531337	0.043	1.812	6.116	7.016	5.82	16.768	4.68	1.94	4.12	4.568	3.852	8.619	55.837	45.545	11.043	20.216	5.5	14.036	19.585	18.289	13.172	20.179	10.32	33.95	25.615	7.692	21.786	7.444	1.343	25.457	39.644	24.021	19.608	1
