####################################################################################################
Online Supporting Information S2. 

The input maximum signal dataset including the maximum signals of Chip-seq and DNase-seq in 5000 DNase I hypersensitive sites. 

#####################################################################################################

Chr	start	end	dnase1sig	H3k9me3	H3k27ac	H3k4me3	H3k4me1	H3k4me2	H3k27me3	H3k36me3	H3k9ac	H4k20me1	H3k79me2	BRCA1	BACH1	CEBPB	CHD1	CHD2	CJUN	CTCF	GTF2F1	CMYC	CTBP2	JUND	MXI1	MAX	MAFK	RFX5	RAD21	NRF1	SUZ12	SIN3A	TBP	ZNF143	USF2	ZNF274
chr1	4029052	4029179	0.039	18.44	2	2	3.88	3	4	1.76	2.68	3.72	2	6	2	10	6	12	8	2.24	11	7	9	5	13	8.3	9	11	14	4	1.8	25	7	80	6	4
chr3	13667772	13668738	0.205	5.4	7	4	7.8	5	1	5.04	8	5	5	9	7	5	4	6	3	3	4	7	5	5	7	2.8	4	6	5	6	7.3	5	3	9	9	2
chr17	72206496	72207760	0.133	14.36	25.24	16.84	36.44	49.6	6.12	16.72	35	19.4	9	28	18	20	22	78	22	296.72	29	35	42	37	28	16.6	23	19	105	26	8.3	73	27	69	37	9
chr17	46643040	46643341	0.048	7.2	2.28	1	6.48	3	133.84	1	4	13.64	8	7	6	11	6	8	6	2	7	3	9	8	6	1.4	5	8	9	8	8.3	10	6	8	12	3
chr1	7284844	7285125	0.065	2	3	2	9.2	1	2	2	2	7	4.88	12	7	12	5	13	7	143.8	15	13	19	10	14	13.8	10	16	229	8	7.3	11	12	28	46	1
chr11	134859986	134860197	0.047	5	32.6	6.72	20.88	24.92	2	3.84	13.32	4	3	9	6	8	10	10	1	3	7	9	10	7	12	8	9	13	4	6	4.2	10	9	11	6	3
chr22	37460476	37460989	0.044	3	7	3	6	4.64	9	6	6.8	5.52	3	7	7	4	7	8	5	6	7	5	4	9	8	2.8	3	8	7	6	5.5	5	5	11	12	3
chr14	90862705	90865074	0.489	5	20.36	63.84	15.08	119.12	5.8	4	52.76	17.48	58.6	46	67	29	30	439	16	12.04	84	43	29	50	63	24.9	20	17	27	42	6.4	118	1604	144	22	4
chr9	139013745	139013984	0.044	3.92	1	1	7	1.96	3	2	7.88	4.4	2	6	3	4	8	4	8	3.24	4	4	10	3	2	4.1	2	11	5	5	5.5	8	6	8	8	5
chr7	148768604	148769423	0.268	5	16.68	6	18	8.52	1	16.08	11.84	10.16	5.44	12	35	28	14	37	10	281.2	25	40	15	28	32	16.6	15	16	155	11	5.5	83	37	93	32	3
chr10	46996626	46996871	0.04	6	6.44	0.72	7	3.36	2	16.64	10.08	17.68	13.16	15	15	9	11	8	8	13.4	6	10	9	10	16	5.5	7	15	2	5	6.4	8	6	18	14	8
chr10	26916277	26916667	0.109	13.6	5	6.76	10.64	6.32	2	3.84	5	3	6	15	11	10	10	13	8	155.56	20	21	3	18	12	7.2	10	15	46	8	6.3	16	17	63	15	6
chr4	329961	332210	1.013	9.84	55.6	77.56	12.88	101.16	27.04	3.16	103.08	7	62.36	14	71	20	23	254	16	9	28	16	14	22	32	12.4	20	15	12	15	8.3	70	158	24	18	4
chr9	131526704	131527068	0.057	4.2	17.88	4	8.84	8	1	4.76	9	9	8.64	13	9	15	9	21	20	103.04	15	18	15	11	23	4.1	7	13	121	9	4.6	38	16	19	8	4
chr2	128784288	128786315	0.94	3	38.8	57.68	6.2	79.92	3	5	67.04	15.08	111.32	13	26	11	17	37	17	6.92	16	13	11	18	19	8.3	11	17	13	17	3.7	70	139	239	19	3
chr13	87780413	87780503	0.036	2	4.64	1	2.28	3.92	2	2	3	0.48	3	9	11	193	16	46	22	1	11	26	16	40	22	27.6	15	25	22	9	0.9	48	7	54	9	7
chr22	41684342	41684807	0.043	6	16.44	1	19.08	11.84	2	7.88	10	2.92	6.28	6	12	11	7	12	15	6	13	9	9	57	13	2.8	6	8	13	4	2.8	13	12	18	8	3
chr13	24121100	24121423	0.068	3.44	11.04	36.4	11.68	71.76	7	2	25.08	2	4	10	9	6	20	22	13	7	24	21	27	15	23	11.1	10	14	21	12	2.8	30	23	38	14	3
chr5	172644635	172645175	0.288	6	8	2	13.2	10.72	7	2	6.48	6.76	1	5	12	16	7	16	9	5	13	19	13	12	15	29	11	6	6	10	5.5	22	14	23	96	3
chr12	52596183	52596655	0.039	3.32	9.52	3	14.72	11.72	1	6.68	7.32	3	2.36	4	7	7	10	12	5	3.52	4	5	8	7	12	1.4	5	10	4	7	5.5	12	6	9	11	4
chr19	11301987	11302491	0.243	10.88	6	3.64	3.4	3	2	7	5.44	6.76	6	5	7	8	5	29	5	4	10	9	3	10	5	8.3	7	5	3	8	2	12	5	5	102	1
chr10	98860887	98861159	0.045	4.8	4	3	14.68	8.84	3	0.84	3.92	3.44	3.92	12	14	8	7	6	8	45.48	8	7	11	9	4	5.5	9	13	12	7	2.8	9	12	13	13	1
chr19	44270581	44271082	0.166	2	5.36	3	16.52	6.36	1	6	7.76	5.92	3	18	12	10	8	12	10	182.12	8	13	8	17	14	11.1	7	16	120	10	3.7	23	13	73	14	6
chr8	143673284	143673667	0.054	3.16	4	1.24	5	4.04	4	5.2	6	4.48	4.84	5	9	5	8	7	5	5	4	4	6	5	3	2.8	5	8	5	6	3.7	6	4	5	6	2
chr11	123431775	123432144	0.081	5	11.92	3.68	17.68	15.64	2	6	7.8	4.24	13.08	7	13	9	7	31	12	117.52	21	48	13	20	25	102.2	9	9	36	10	2.8	29	11	65	24	1
chr9	139721399	139722159	0.062	3.4	9.36	1	5	4.64	1	8	5	13.92	9.8	5	7	4	7	6	5	2.96	8	5	4	7	7	4.1	1	6	3	9	4.6	9	8	8	9	2
chr1	175712202	175712589	0.078	4	3.8	9.8	18.32	43.12	7.24	3	5.96	11	5	12	40	19	11	22	19	11.68	14	12	16	27	28	11.3	15	13	28	13	1.8	91	31	77	15	2
chr2	61824847	61825111	0.045	3	28.2	2.8	11.08	17.64	6	2	10.84	1	3.92	13	28	61	10	16	16	3.52	11	20	9	29	18	27.6	7	15	15	18	0.9	15	31	19	14	4
chr7	453737	456309	0.078	8.8	6.44	2.44	8.92	4	4	4.08	8	5.04	4.04	6	8	6	8	6	11	4	8	6	6	13	10	4.1	6	8	7	8	5.7	7	8	12	7	6
chr17	77984023	77984523	0.041	4	7	2	2.36	1	3.56	12.04	6.2	18.68	6.4	5	8	3	6	5	3	5.68	6	5	8	4	8	4.1	3	5	4	4	4.6	5	6	7	10	2
chr9	135069706	135070434	0.078	4	4.76	1	3	4	9.32	3	5.4	4	2	8	9	7	4	8	7	10.24	5	7	6	9	7	2.8	5	6	8	11	9.2	6	9	7	7	2
chr5	98346117	98346282	0.044	8.8	9.84	7.2	12.76	42.52	2.24	5.88	9.6	1	5	6	12	56	11	18	12	4.8	12	16	15	21	13	11.6	11	8	21	5	5.5	18	21	22	17	1
chr20	1281109	1282227	0.186	5	9.88	3	22.6	15.96	5	5	15	7.68	5	11	15	9	12	17	14	5.28	16	15	16	34	20	12.4	7	11	12	9	5.5	13	23	23	10	3
chr21	34436522	34437203	0.077	9.2	6.84	5	12.84	19.12	27.44	1	5.68	5	4	5	14	9	7	16	12	29.32	9	8	23	16	14	6.9	9	10	24	11	9.2	14	14	26	13	4
chr9	136390948	136391176	0.055	8	6	2.56	8.6	5.72	5	3.52	7.48	1.32	5	6	7	11	9	13	12	64.76	10	10	3	14	9	11.1	10	10	15	4	4.6	12	16	22	12	3
chr4	1777197	1782964	0.886	8.36	25	9.76	34.52	33.88	9.32	7	15.44	7	8	13	27	22	17	24	17	34.32	17	15	36	29	16	13.8	14	10	19	13	6.4	38	18	65	27	5
chr22	28172415	28172661	0.054	6.28	6.48	5.4	9.64	31.44	1	2	4.96	2	4	10	5	8	11	10	6	2	10	17	7	10	13	2.8	6	10	13	9	0.9	21	3	11	15	2
chr1	120190151	120191336	0.322	3.76	42.12	74.96	9	119.12	1	3.72	69.32	5.88	14.12	40	42	25	17	59	16	206.28	26	18	23	36	21	11.2	10	18	123	13	6.4	79	56	121	14	4
chr1	229545547	229545758	0.043	2	3	3.68	10.24	12.76	14.2	2	4	4	3.56	7	6	4	4	8	7	2.6	6	12	6	10	11	5.5	3	6	7	3	4.6	9	1	4	12	2
chr5	42583470	42583715	0.053	7	7.2	2.56	7	1	3	2	9	8	2	31	21	93	13	32	24	215.84	16	18	4	30	19	12.4	31	14	277	11	2.8	32	20	69	17	4
chr3	122738631	122738746	0.039	5.36	4.84	4.4	10.36	3.48	7	1	8.12	9	18.68	9	8	12	6	15	2	1	6	8	6	8	8	4.1	3	13	2	7	1.8	18	11	11	12	1
chr19	54657325	54657866	0.052	6	8.56	1	4	7.64	1	17.72	5	5.36	4	6	9	7	6	6	6	10.2	7	9	12	6	8	2.8	7	7	8	4	8.3	9	7	11	11	6
chr20	57224422	57226907	0.487	3	47.76	50.72	23.48	108.32	12	8.16	70.52	10.64	56.04	49	47	30	31	74	47	106.56	47	36	44	56	61	13.8	26	37	183	16	6.4	141	131	194	45	5
chr6	33358908	33359931	0.246	6	26.36	91.32	12	75.12	3	2	53.6	8.28	16.12	22	53	23	26	41	14	469.16	33	41	23	44	47	52.5	20	24	73	80	7.3	107	50	103	42	2
chr2	124784730	124785137	0.126	4	1	3.88	8.84	4	10.92	1	2.84	5	4	21	19	14	14	24	17	127.36	11	20	2	24	22	11.1	21	14	530	14	1.8	32	17	48	14	2
chr10	1580902	1581342	0.057	4.44	5	1.24	5.32	2	2	3	3	10	1.08	5	7	4	4	11	8	34.44	6	6	5	5	5	0	3	10	12	4	5.5	7	5	9	11	1
chr1	32045072	32046292	0.087	5	6	6	26.76	27.92	7.84	4	10.16	8.56	5.8	12	12	17	8	14	14	8.56	11	13	14	36	13	8.3	8	11	10	9	7.5	14	9	34	16	3
chr2	105719274	105719965	0.161	7	22.96	6.08	24.12	37.96	1	5	20.2	5.24	7.84	14	17	11	15	43	35	5.24	25	16	13	100	26	111.9	13	14	14	16	4.6	30	23	38	24	3
chr12	99286825	99287195	0.044	3	4.16	2	14.48	18.76	53.76	5	8.68	7.76	6.92	10	14	5	7	5	8	3	10	9	1	15	6	4.1	7	12	7	14	7.3	11	4	7	10	3
chr18	13726047	13727297	0.191	1.96	48.72	89.32	6	71.4	3	5.24	76.04	9.96	62.52	35	142	33	20	42	19	20.88	35	49	26	47	70	73.2	17	15	16	11	4.6	143	61	320	408	5
chr19	19325552	19326233	0.227	7	5	6.76	13.16	9.68	7	3	9.24	11	7.68	22	19	12	13	26	19	12	21	16	26	22	47	24.9	20	24	17	15	4.6	216	20	169	18	4
chr1	12232074	12232326	0.039	1.08	5	1	1	1	1	2	3	3	3	13	7	6	8	5	1	1	9	10	3	4	6	1.4	8	5	6	2	2.8	11	5	7	5	1
chr5	179224658	179231590	0.345	5.52	13.76	11.32	38.44	38.48	6	17.04	13.92	19.24	26.48	13	25	17	13	20	11	201	19	16	20	35	34	16.6	10	16	176	9	8.3	60	22	47	42	5
chr17	71537220	71537560	0.046	4	3.32	3	6.76	4	4.56	2	5	4	6.16	5	3	5	3	6	6	8.8	4	4	5	10	10	4.1	3	5	5	4	7.3	8	7	4	11	2
chr16	58026894	58027431	0.052	4	18.64	4	16.52	11.28	3	4	9	11.04	5.8	5	11	6	8	8	5	6.56	8	11	15	8	11	4.1	9	2	7	5	6.7	10	10	8	13	1
chr12	241236	241548	0.043	10.92	5	1	3	2	4	1	3	5.52	2.8	6	6	4	4	7	3	4.28	6	7	3	5	6	1.4	6	3	8	10	2.8	9	8	8	7	2
chr12	15155125	15155280	0.041	6.04	12	2.24	8.44	15.48	1	3	7.36	4	0.32	8	8	20	10	14	20	32	17	16	10	14	14	8.3	9	9	52	6	5.5	16	44	28	15	2
chr1	227175809	227176364	0.066	6	10	8.88	19.04	9.44	3	7.92	5	5	3	7	11	11	8	17	6	1	9	9	8	10	11	8.3	14	8	10	6	2.8	16	11	13	12	4
chr8	72466311	72467031	0.094	7.56	9.64	18.76	16.44	83.52	19.28	5.6	18.76	4.48	4	17	25	32	9	19	17	7	15	17	9	31	15	19.3	9	11	21	13	6.4	19	15	21	19	4
chr1	21923926	21927026	0.115	6	7.24	2.92	10	5.64	3	4.48	10.12	11	7.84	10	12	9	8	10	10	22.96	9	8	8	14	13	6.9	9	8	13	7	6.4	10	7	18	12	5
chr22	29706200	29713112	1.05	20.32	17.76	17.16	18.24	49.16	143.88	6	15.08	19.4	8	26	23	28	17	57	18	450.24	58	49	21	71	27	205.9	12	22	143	78	11.9	63	29	141	260	6
chr20	38482409	38482603	0.043	1	9	1.64	7.68	12.6	1.12	4	6.52	7.24	3	10	12	7	5	20	21	8.72	12	8	8	23	21	6.9	15	13	10	7	1.8	45	7	17	12	3
chr3	134656469	134657009	0.071	3	31.36	9.24	24.32	22.8	2	2.08	10.04	6.08	3.28	17	14	19	13	29	16	10.2	19	22	21	23	39	70.5	17	17	26	10	3.7	82	18	50	38	2
chr17	1182249	1182470	0.039	3.24	3	4	8.4	6	3	1	4	7	3.36	10	5	6	3	7	6	7	7	5	6	4	9	1.4	3	2	4	6	2.8	12	7	7	11	3
chr3	45588233	45588434	0.048	3	4.8	3	6.36	3.16	1	2.48	6	7.48	4	7	16	10	8	21	12	243.56	12	24	1	19	13	26.3	21	9	98	16	3.7	23	9	70	22	3
chr2	105031858	105031995	0.04	3	6	4.08	7.4	12.36	1	3	2.44	3.44	4.48	6	9	8	4	9	5	9.2	11	5	3	19	5	4.1	3	6	21	5	1.8	5	5	15	3	2
chr7	23145150	23145892	0.133	7	47.64	98.44	5	56.28	3.68	3	89.52	10.52	27.72	28	45	26	29	32	21	7.4	41	36	19	39	50	23.5	29	15	25	105	4.6	133	151	35	27	2
chr19	17443156	17446055	0.385	6	25.8	61.72	29.12	87.6	4	10.12	55.56	16.32	7.52	19	21	12	19	61	17	46.72	35	36	20	47	27	12.4	19	16	15	13	10.1	129	36	47	16	5
chr22	37461242	37461848	0.07	6	8.16	2	13.44	5	12.4	5.88	4.84	13.64	4.2	8	5	5	8	9	9	7	8	5	2	6	9	1.4	6	7	3	5	3.7	10	9	6	7	1
chr1	180207379	180207503	0.04	4	3	3	17.44	26.92	7.52	1	2	1	5.2	5	19	5	14	11	8	1	5	3	4	13	10	5.5	3	5	7	8	2.8	13	12	5	5	3
chr21	43858014	43858181	0.042	7.92	6	1.28	3	2.44	2	4	3	3	2	6	6	9	8	11	12	9.16	14	9	14	12	17	5.5	6	7	8	3	1.8	40	6	61	10	2
chr7	2117689	2118975	0.088	4	9.24	2	7.92	3	1.2	6	12.68	15.32	8	6	6	3	6	7	9	19.76	7	6	8	6	9	2.8	4	7	11	7	5.5	14	10	7	10	3
chr8	141403899	141404247	0.092	5.76	10.64	3	8.48	6.24	3.32	4.8	1.56	3.96	3	24	24	22	14	38	21	264.24	22	22	15	54	21	15.2	17	16	679	12	2.8	18	16	85	16	3
chr14	97684697	97685987	0.137	3	12	40.36	13.24	108.4	10.8	4	32.24	6.92	3	11	31	17	19	18	7	38.84	17	14	21	21	17	11.1	10	11	40	14	8.3	32	38	20	11	2
chr3	54168702	54168964	0.05	5.72	7	1.88	10	3	1	2	5.92	4	2.44	7	5	6	8	6	5	23.36	4	6	18	7	10	0	8	8	17	6	1.8	10	8	14	8	2
chr6	164056810	164057274	0.044	4	7.16	6.88	17.8	19.48	3	3.36	6	5	5.12	7	7	16	7	7	11	4.28	9	12	3	9	14	2.8	7	7	11	9	3.7	9	8	17	13	4
chr7	149445298	149445669	0.073	8	8	6.36	11.52	14.36	3	6.36	6.36	5	2	10	12	13	10	23	5	9	11	14	18	16	23	12.4	5	10	6	8	5.5	119	9	21	18	4
chr18	53446013	53449268	0.172	9	23.4	34.88	21.04	110.44	20.36	5.4	28.52	6	9	34	31	25	29	27	14	230.56	16	23	18	45	17	19.3	34	19	370	12	6.4	40	22	49	19	6
chr7	35406101	35406562	0.062	6.96	10.2	6.68	17.8	28.24	9	5.04	8	8.12	5	9	46	34	14	24	22	33.52	10	13	43	22	23	16.6	11	11	29	9	4.6	51	21	24	12	3
chr17	36823677	36824163	0.204	9.96	4.72	5	8.72	8.56	16.88	5.08	8	15	6	40	17	30	16	41	25	626.24	39	26	8	36	39	26.3	27	25	919	13	8.3	54	30	116	31	3
chr7	68532456	68532764	0.084	8	2	2	5	2	3	4	5.8	4.4	5	20	13	20	9	24	14	331.2	18	11	6	34	17	20.7	7	11	382	18	4.6	15	11	84	13	6
chr8	61990261	61990826	0.127	2	17.24	7.16	28.16	51.72	2	4.8	19.64	5	3	11	25	16	19	34	23	5	22	25	27	30	19	60.8	18	23	17	17	4.6	37	42	29	27	4
chr11	3830285	3831296	0.099	6	6.92	16.24	16.84	57	7.84	4	9.8	6	30.16	12	61	17	12	13	8	84.16	19	15	5	28	20	23.5	10	9	94	19	5.5	41	15	34	27	7
chr3	43897291	43897531	0.05	5	2	2.4	15.8	6.92	3	2	5	4	2.76	17	9	12	10	15	8	256.08	16	14	16	24	21	11.1	16	12	184	18	6.4	36	16	73	17	5
chr16	84984536	84984915	0.08	9	6	3	7.16	2	1.56	3	5.96	4	6.24	10	8	10	4	12	6	68.96	11	9	6	13	6	4.1	7	8	15	8	7.3	13	9	38	13	2
chr15	101592954	101593892	0.055	5	7.72	2	8.52	2.56	2	5	7.2	4	4.84	5	6	6	5	4	4	4	6	5	7	6	7	1.4	5	5	3	7	7.3	9	8	5	10	3
chr13	52025515	52028483	0.739	10.28	40.56	69.68	10.56	105.72	3	4	54.88	7.44	33.44	20	31	18	35	48	21	8	116	31	15	39	34	48.4	19	14	33	43	6.4	89	970	34	272	4
chr14	93411817	93412116	0.04	1	5	3	4	2	0.64	7.32	1	8.36	6	4	3	6	5	5	3	1	4	4	4	1	4	1.4	2	5	7	6	4.6	5	5	7	7	1
chr18	74322798	74323333	0.113	5.44	5.4	3	3	5	2.08	2.28	5	4.92	2.96	6	11	5	7	6	11	4	11	9	5	9	12	1.4	8	9	6	7	2.8	11	8	9	9	5
chr1	3546768	3547269	0.072	6.44	7	2.68	4.64	4.68	2	9.96	4	7.24	3.04	9	6	5	6	8	8	9	8	5	5	6	7	1.4	5	7	8	6	3.7	11	6	13	4	3
chr22	45102980	45103817	0.066	5	7	1.52	7.88	2	3.28	5	7	12	11	5	10	3	5	6	5	4.08	5	5	7	8	7	4.1	5	9	7	7	7.3	9	8	6	7	4
chr12	108001268	108001624	0.088	3	6	3.36	11.52	12.96	3	1.08	7	10	3.84	23	16	26	15	22	17	358.04	21	27	13	40	32	18	13	23	607	15	7.3	28	19	91	24	2
chr13	113772316	113773339	0.062	4	3	5	4	4	5	2	5	7.44	3.92	5	10	3	7	8	10	5.2	7	4	6	7	5	4.1	4	4	11	7	8.3	7	4	9	12	1
chr17	79225623	79226502	0.101	6	9	4	13.28	5	2	7.36	5.88	7.64	5.08	5	7	9	6	8	5	3.2	8	7	9	11	11	4.1	5	8	10	10	5.5	22	4	8	12	4
chr1	7812610	7812821	0.048	8.56	6.76	13.48	9	36.16	1	3	7.32	5.2	6.04	116	20	107	10	17	15	6.48	16	23	7	19	15	8.3	13	14	19	9	0.9	20	19	13	13	1
chr9	97864168	97864479	0.048	3	6.08	3.48	4.96	3.04	1	5.28	3.12	8	5.04	7	15	4	4	8	4	6.56	7	5	6	7	4	2.8	4	4	6	6	5.5	7	3	3	17	2
chr8	72755594	72756997	0.267	4.4	6	56.64	23.72	147.04	68.72	5.8	12.32	14.72	6.56	16	31	13	22	26	12	167.76	22	19	46	29	22	15.2	12	15	100	17	12.8	72	42	48	17	4
chr5	177869660	177869873	0.039	1	9	2.76	11	3	4.12	3	4	5.36	5.56	2	9	4	4	2	5	6	4	6	6	4	5	1.4	25	7	5	5	1.8	3	7	4	10	1
chr4	140223103	140223733	0.059	4	35.04	94.6	3.16	54.2	4	5.28	52.44	13.96	107.72	21	15	12	27	26	12	8.96	17	15	14	20	30	9.7	13	11	13	12	3.7	73	47	17	14	4
chr16	2478072	2480571	1.081	7	20.92	55.72	24.84	129.32	16.52	5	59.12	14	43.4	11	17	16	16	69	12	57.88	23	35	16	25	32	27.6	12	10	32	108	8.3	72	70	32	20	5
chr9	128856131	128856414	0.064	11.72	4.8	3	2	4	1	4	4	2	1.2	7	7	3	7	6	6	5.2	8	8	5	6	6	8.3	5	7	5	4	2.8	8	8	10	10	2
chr10	5605330	5605566	0.044	2	9	1	3	4.64	3	2	3.76	3	4.68	3	16	4	4	5	7	1	6	7	6	3	6	1.4	11	7	2	8	4.6	2	1	11	4	3
chr6	138437083	138437306	0.047	6	3.96	1.6	4	7	2	2.4	1	6.36	6	22	21	22	13	18	18	128	19	34	3	28	28	34.3	24	13	517	15	1.8	35	8	28	11	1
chr7	157903900	157904322	0.096	14	5.52	3	7	6.96	1	4.76	6.6	2.24	5	4	13	10	8	10	11	1	5	6	9	74	8	6.9	11	7	6	7	1.8	13	6	11	11	3
chr2	237125275	237125668	0.057	3.96	6.68	1	2.64	2	2	2.8	4	4.76	4	5	5	3	6	9	4	4	7	3	3	2	8	1.4	5	6	5	2	2.8	5	8	7	9	4
chr12	113524144	113525857	0.086	14	8.88	3	19.52	13.48	8	4	5.92	7	7	9	12	7	11	17	15	7.72	9	14	14	13	10	5.5	8	10	11	7	3.7	12	11	13	12	4
chr19	6232918	6234773	0.121	4.72	10	3	16.68	11.88	4	5	9.44	19.64	41.12	9	9	10	8	10	9	9.92	9	6	7	12	7	2.8	9	8	6	9	6.4	10	9	7	9	5
chr11	2802448	2803484	0.096	3.88	4	2.68	11.56	4.72	8.2	3	6	6.84	4.64	6	9	6	8	8	12	7.6	5	7	7	7	8	1.4	6	6	6	6	5.5	8	7	13	9	4
chr19	14518624	14519206	0.055	7.52	2.52	1.36	4	2	6	19.24	11.08	12	3	4	2	5	11	12	5	4	4	8	5	7	6	4.1	4	6	5	8	9.2	8	6	7	11	3
chr6	139948383	139948639	0.051	2.8	4.2	3.76	6.16	10.44	1	2.4	2	5	1	17	22	20	9	32	26	17.2	25	25	23	21	37	237.6	22	16	40	12	5.5	40	23	41	26	2
chr19	44064861	44065088	0.052	6.12	7	1	2	1.8	2	7.96	9.8	2.36	6.32	9	10	7	7	8	6	48.96	6	6	2	28	6	4.1	6	7	29	5	6.4	18	7	10	12	2
chr10	106340588	106340858	0.064	9.96	5	2.92	8.32	15.8	6.8	2.24	5	3	5	24	13	16	12	26	15	220.96	17	16	10	25	18	9.7	11	20	227	13	4.6	26	13	76	13	2
chr16	87866346	87867321	0.056	1	8.96	3	5	4	1	10.56	5	13.68	5.92	5	8	7	6	7	9	2	8	9	7	7	6	1.4	6	6	6	11	4.6	8	7	12	11	2
chr5	611739	612988	0.463	7	11.64	65.64	11.8	58.8	4	2	41.68	5.84	62.44	11	21	9	12	12	12	4	12	16	10	14	18	8.3	5	10	12	68	8.3	42	16	13	10	1
chr3	128128826	128129407	0.048	4	8	1	7.12	4	2	5	2.44	6.92	3	6	7	3	5	6	4	7.52	9	7	10	5	5	2.8	3	5	4	8	6.4	11	5	6	8	2
chr1	153894726	153896117	0.362	4	41.8	59.36	8	77.48	1	3	76.6	5	10.88	22	702	13	33	245	23	43	26	30	11	32	27	11.1	31	18	33	18	5.5	68	87	38	23	4
chr22	41751236	41751454	0.038	7.28	6	2	4.2	1.52	1.4	13.92	5	5	3	3	5	2	3	7	1	3	5	6	2	6	6	1.4	2	9	3	3	3.7	4	7	8	11	4
chr9	135380550	135380671	0.037	8	5.96	1	12.16	6	1	3	8	6.72	4.68	9	8	8	4	7	12	5	3	7	2	8	12	1.4	4	4	3	8	3.7	8	4	5	7	2
chr7	158439992	158440216	0.052	4	6.64	2	6.12	5	0.8	6.12	4.48	7	15.56	9	13	20	3	13	4	144.6	16	5	5	14	12	9.7	9	14	52	14	3.7	18	13	41	16	2
chr6	37071089	37071684	0.066	5	19.4	12.44	33.28	35.6	2	2.12	16.24	10.24	7.52	15	20	18	9	21	24	13.52	17	20	31	23	29	18	16	12	36	17	5.5	90	17	33	18	4
chr13	111646059	111646617	0.114	7.44	13.52	3.84	14.92	16.52	3	5	7	5.64	7	9	11	12	6	29	8	8	11	17	12	14	15	7	10	8	18	10	3.2	15	16	30	17	1
chr5	1750789	1752389	0.146	3	7.92	2	14.24	8	6	3	8.08	5.2	3	6	5	6	10	9	5	12	8	7	13	7	7	5.5	8	8	7	8	8.3	11	5	11	14	3
chr22	39150122	39153585	0.625	6.64	10.44	32.96	26.84	77.52	12.32	6	14.8	10.32	6	14	66	28	13	42	21	17.48	19	14	13	15	15	12.4	10	16	12	12	4.6	71	17	16	16	4
chr1	119531900	119533140	0.122	8	8	16.8	20.72	62.76	97.2	4	8.44	10	2.8	16	19	12	17	21	16	12.96	11	9	20	22	16	9.7	9	11	22	10	15.6	19	26	21	12	3
chr10	134495417	134495959	0.08	11.48	6	1	3	6.76	3.2	4	5.52	3	4	3	2	3	2	5	7	7	5	6	7	3	6	2.8	2	6	8	3	6.7	7	2	9	7	2
chr10	61468442	61470507	0.533	4.84	29.16	49.88	18.92	115.6	25.08	4	66.72	7.68	24.32	14	19	102	27	27	32	76.24	28	37	24	31	21	23.5	13	11	28	15	6.2	44	83	38	27	5
chr18	77488501	77490166	0.056	8	10	2	3.04	4.28	3	17.2	6	13	7.6	10	9	6	5	7	10	8.08	9	7	4	6	9	1.4	8	8	8	8	7.3	7	9	9	8	3
chr1	236227098	236229395	0.664	13.52	14.16	48.84	22.64	125.08	47.68	4.76	42.96	12	10.24	19	43	20	26	21	13	26.68	18	13	24	26	20	13.8	10	14	14	12	9.2	46	69	32	15	3
chr2	1513164	1513761	0.054	9	9	1.2	12.92	6.16	3	5	5.52	8.52	4	1	7	7	10	8	6	4	6	8	4	5	5	2.8	4	7	6	4	3.7	6	4	8	6	5
chr3	129611439	129613033	0.639	6.4	37.44	66	8.72	94.76	2	3.08	87.92	5.2	26.32	16	21	16	22	20	12	19.96	21	46	18	21	33	26.3	8	17	19	111	3.7	64	47	43	22	4
chr15	85142339	85142519	0.046	1	3.72	1.48	5	5.36	4	3	1.96	3	4	27	23	17	20	23	13	229.08	15	28	5	26	22	31.8	22	14	365	14	4.6	35	18	64	19	3
chr4	85487168	85487393	0.046	4	7.16	8.6	12.12	23.12	1	1	3.44	0.64	2	19	14	18	8	37	17	1.84	17	24	28	23	86	41.4	14	19	20	14	3.2	256	36	13	16	1
chr4	2827388	2827985	0.088	5.56	7	1	7.92	5	4	8	11.16	14.56	6.64	6	3	5	5	7	4	13.04	5	7	4	6	7	4.8	7	6	10	6	8.1	5	1	9	9	4
chr11	60888888	60889191	0.041	4.12	4.16	1	3	5	4	3	6.08	8	3	3	3	5	6	5	3	1.68	4	4	7	9	6	2.8	4	5	9	7	2.8	6	3	8	7	4
chr5	177412386	177413048	0.131	2	2	9	8	46.6	16.04	2	6	4	2	7	5	7	5	8	6	7.96	4	6	6	5	6	3.6	4	8	8	4	8.3	6	12	5	9	1
chr11	1414544	1415058	0.053	4.72	2	3	3	3	2	1.16	2.16	7.2	26.64	5	4	4	3	4	5	2	6	2	6	7	4	2.8	3	4	4	4	3.7	7	5	6	9	3
chr22	40385726	40386144	0.077	5.52	5	2	15.68	9.04	7.92	3.32	6	5.28	3	6	6	8	8	14	8	10	9	9	8	9	9	2.8	3	9	9	7	4.6	12	8	16	7	3
chr12	75601021	75601683	0.079	4	4	7.12	6.88	20.6	21.2	4	4	4.8	4	5	12	3	6	6	2	7	7	3	12	6	7	1.8	5	6	5	5	5.7	8	7	6	9	1
chr2	128379570	128383488	0.08	7	11.16	4	6	5	4.52	4.32	5.64	6.76	5.04	7	8	6	11	9	7	6	8	9	9	10	8	2.8	7	8	5	8	6.4	9	6	10	9	4
